名称,链接,类型,卫生间,床数量,卧室数量,容纳人数,价格,评论数,特色,位置,出行信息,,,,
碧桂园清泉城《高级》豪华套房,"https://www.airbnb.cn/rooms/20678673?s=lL8DwLxp&guests=1&adults=1
",整间Loft,1间卫生间,2张床,2间卧室,最多住4人,188,1,"佛冈碧桂园清泉城《美湖丽景》温泉酒店

    “酒店介绍”:精品房豪华装修
灯光一流
  景观特色:清晨醒来打开窗帘,绿色山水景铺面而来｡

     配套特色:小区有会所､可健身､跑步打桌球､乒乓球､游泳､户外有篮球场､足球场､网球场､有登山径,可上羊角山､有雪行车道,可租车骑行,锻炼身体｡

    养生特色:温泉

周边特色:羊角山风景区､森波拉风景区､观音山风景区

  小区内有免费电瓶车､随叫随到､有免费穿梭巴士､有超市､餐厅､山泉水游泳池､半山网球场､足球场､篮球场､湖治､登山､健身会所､免费茶歇､儿童游乐场､植物园､提款机等……","《美好时光,美景,美屋不可辜负》
住在这里是一种很美妙的事情,是一种温馨舒适的感受!
愿有缘来住下的朋友,希望它为你带来一段独一无二的旅途体验｡
日韩小清新,典雅之余不失高贵｡
  清新淡雅的空气和休闲的气氛;让您感受城市不能体验的悠闲舒适;让心灵回归大自然更好地享受生活的乐趣｡","自驾游路线 (Website hidden by Airbnb) 广州:华南快速干线—京珠高速(北行)—佛冈出口右转5公里—碧桂园清泉 (Website hidden by Airbnb) 佛山:广佛高速公路—广州环城高速(北行)—华南快速干线—京珠高速(北行)—佛冈出口右转5公里—碧桂园清泉 (Website hidden by Airbnb) 深圳:广深高速—北二环—京珠高速(北行)—佛冈出口右转5公里—碧桂园清泉城 
佛冈清泉城美湖丽景度假酒店",,,,
[铭南]美容师之度假精装别墅,"https://www.airbnb.cn/rooms/20962894?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,6张床,4间卧室,最多住8人,888,1,"山顶之边,豪装欧之风,美的享受,全屋都是出自美容师之设计,齐全舒适,还有卡拉0k{下午2点到晚1O点},电烧烤也是不错的选择!做一顿也可以!","在山顶,近看山,远看屋顶!",需开车!,,,,
"【趣墅】清远佛冈碧桂园清泉城·泰自在半山温泉别墅|花园私家温泉泡池BBQ麻将厨房,近森波拉度假区","https://www.airbnb.cn/rooms/21112760?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,5个卫生间,6张床,5间卧室,最多住10人,1880,1,"趣墅,全国领先的别墅度假品牌｡作为“趣味度假魔法师”的首倡者,我们希望为客人带来有趣而美好的度假体验｡无论是家庭度假､亲友聚会､公司欢聚,或是商务接待等,趣墅都能为你提供完美的度假地｡目前,趣墅已遍布华南热门旅游目的地,在线精品别墅超过1000栋,服务人次超过60万｡同时,趣墅也即将进驻三亚､杭州､成都､重庆等地,让更多人可以睡进有趣的度假别墅,躺进1000种理想生活里｡

清远佛冈碧桂园清泉城别墅,由碧桂园集团打造的大型度假新城,依山而建､全新装饰而成的私家别墅｡碧桂园·清泉城最大限度保留了地块原有的地形地貌,四周群山环抱,山色连绵｡别墅依山依势而筑,潺潺溪水蜿蜒其中,家家观景､户户亲水｡","【浈阳峡旅游小镇】位于清远英德市连江口镇北,是集旅游､住宿､餐饮､购物､会议､休闲娱乐为一体的多功能休闲度假区｡
【观音山王山寺】观音山为广东的八大名山之一,海拔1288米,是著名的佛教名山｡景区还有一系列的旅游项目｡
【上岳村】是一个有着720年历史的古村落｡它始建于宋代,于清朝达到鼎盛时期｡村内108座古民居掩卧在桔果树丛中,前塘后山的布局,蕴含着藏风纳水的寓意｡
【飞来峡】飞来峡风景区位于清远城上游20多公里的北江河段,是省级风景名胜区和旅游度假区,是道教第十九福地｡","佛冈碧桂园清泉城
广州出发:华南快速干线(或机场高速)---京珠高速(北行)---佛冈出口---右转沿106国道走5公里---碧桂园清泉城
佛山出发:北二环---京珠高速(北行)---佛冈出口---右转沿
106国道走5公里---碧桂园清泉城
东莞深圳出发:广深高速---北二环---京珠高速(北行)---佛冈出口---右转沿106国道走5公里---碧桂园清泉城",,,,
恒大别墅雅典娜景观露台家庭大套房,"https://www.airbnb.cn/rooms/21170155?s=lL8DwLxp&guests=1&adults=1
",整套联排别墅,1间卫生间,3张床,1间卧室,最多住4人,688,1,"在远山边别墅区里有情有趣有品味的小清新大房,坐拥大露台,星夜里可坐摇篮椅,数星星,赏花赏月赏天下美景｡在有优惠的季节,我会为尊贵的客人准备好产自于法国普罗旺斯的植物香薰｡在清新的香味中平和生活,调理身体机能,改善精神状态,既养生又健康,学懂享受生活,才懂得品味生活,并于生活中寻找生命的意义!","因为这里是生态城的别墅区是低密度住宅,比较清静优雅;自然生态环境好,空气清新, 鸟语花香｡","从福山别墅区大门出口,左转两百米就可到达恒大屋村巴士停车场｡在这里每天都有直达广州越秀公园和清远市清新区体育中心的巴士｡如果是自驾路线,从广州方向来,上清连高速,在龙颈出口下高速右转800米,即可到达恒大金碧天下｡",,,,
恒大金碧天下别墅爱琴海油画大床景观房,"https://www.airbnb.cn/rooms/21190831?s=lL8DwLxp&guests=1&adults=1
",联排别墅里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,428,0,"位于别墅三层,内设两个大落地大景观窗户,可以一边喝茶一边欣赏窗外远山树林风景,旅行累了还可以泡泡澡,何其 惬意!","住在恒大生态旅游城最大的特点就是安静,空气清新环境优雅｡还有恒大物业的管家服务热情周到｡",如果在恒大金碧天下小区有穿梭的巴士是免费的｡如果在别墅区里面步行散步是最好的休闲和锻炼的方式｡如果要外出周边的旅游景区最好是有自驾车｡或者预约网约车｡,,,,
恒大金碧天下生态墅一楼富士山雅室,"https://www.airbnb.cn/rooms/21191056?s=lL8DwLxp&guests=1&adults=1
",联排别墅里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,328,1,"安静舒适,干净清雅｡卫浴功能齐全,可淋浴可泡澡,让旅途更有如归家的亨受｡",,"当你入住我的别墅,您除自驾出行,之外,还可以选择乘坐小鸣共享单车,当然也可以自由散步｡如果您骑单车,只需要3分钟就可以到达恒大商业街,有跟你散步也许10分钟就可以到达恒大商业街进行购物或者,去品尝美食｡",,,,
恒大金碧生态墅松涛阁双卧室家庭大床套房,"https://www.airbnb.cn/rooms/21191317?s=lL8DwLxp&guests=1&adults=1
",联排别墅里的独立房间,1个独立卫生间,2张床,2间卧室,最多住4人,618,0,"位于别墅二层,南北通风,双大窗户,一房一厅一卫｡可加小床一张｡适合商务亲子家庭旅客居住｡",,,,,,
山泉山庄(豪华套房),"https://www.airbnb.cn/rooms/21304770?s=lL8DwLxp&guests=1&adults=1
",农家乐里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,188,2,"别墅豪华装修,坐落在山脚下,小河边,世外桃园之处","位于山脚下,小河边","5分钟路程,山泉山庄免费停车",,,,
佛冈碧桂园清泉城妮妮亲子度假房,"https://www.airbnb.cn/rooms/21472995?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,1张床,1间卧室,最多住3人,688,3,和宝宝来一次超真实扮家家酒吧,"森林度假区里的山景房,景观美丽,空气好｡","楼下有停车位｡1小时之内免费｡单次12小时内,3元封顶｡",,,,
[博雅居]温馨两房一厅 英西峰林/洞天仙境九龙小镇/老虎谷漂流,"https://www.airbnb.cn/rooms/21740363?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住5人,268,6,"•	房子是住宅公寓,地理位置优越位于(英西峰林)黄花镇中心地段｡周边汇集了黄花镇各类名小吃､餐馆､超市､菜市场､银行应有尽有,楼下就是公园并且有球场｡近黄花镇政府大楼｡交通便利,出门参观景点有:洞天仙境､老虎谷暗河漂流､小赵洲桥､彭家祠､有机茶场 ､绿道､九重天､九龙小镇等各大景点任您参观｡
•	不管是旅游还是出差,都是您的不二选择之地｡
•	公寓配置齐全,冰箱,电视,宽带,wifi,热水壶,二十四小时热水妥妥的,还可以自己做饭哦｡
•	现代简约与复古风格融合的主题公寓,房间整体干净整洁｡
•	这里能够让您感受到黄花小镇的慢节奏生活,何不带上你的亲密恋人及家人朋友在黄花小镇走一走呢｡","房子就在黄花镇政府背后,楼下有个叫盛和家私的,很好找｡","楼下可以免费停车｡小镇上的出行工具是面包车和摩托车以及过路的中巴,如要坐车的客人请联系我｡",,,,
文頭仔屋,"https://www.airbnb.cn/rooms/22040077?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,5张床,3间卧室,最多住11人,1280,2,"本房子位于江湾云海酒店里面的一套｡3房一厅的房子｡
每个房间都有一张1.5的床以及一张1.2的床｡有一间套房｡还有一间房是子母床,有厨房｡
房间内有无线网络,有K房,自动麻将台,楼下有多个温泉池｡","广东省英德连江口云海江湾假日酒店
酒店离浈阳旅游景点小镇约3.2公里｡
酒店离风盛古寺约16.8公里",导航英德连江口江湾假日酒店,,,,
"广州北佛冈碧桂园秘密花园湖景房,观景､泡温泉､吃农家菜","https://www.airbnb.cn/rooms/22631577?s=lL8DwLxp&guests=1&adults=1
",度假村里的独立房间,1个独立卫生间,2张床,2间卧室,最多住4人,480,0,"广州后花园清远市佛冈县碧桂园清泉城,距离广州1个多小时车程,周末或小长假自驾游的自由栖息地｡房间为两房一厅湖景房,全新为度假人群打造,希望带给您一个美丽的假期｡",,,,,,
清远佛冈温泉度假别墅带泡池烧烤麻将KTV乒乓球四房13-1,"https://www.airbnb.cn/rooms/22712392?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,4间卧室,最多住12人,1080,0,"别墅独栋以欧式风格为主,简约温馨,配设齐全,厨房可做饭,wifi覆盖,内有大花园带温泉池､KTV房､麻将机等设施游玩,烧烤(提供电烤炉),团体活动等场地足够!
清泉城环境优美且舒适,空气质量足够好,清泉城内还有一个大的温泉区,此外附近还有森波拉温泉､稍远一点有龙门温泉,很适宜养生度假｡
周边配套丰富,有购物广场､步行商业街､佛冈县府广场里的运动设施､医院等,也是十分方便｡

出行信息 · 碧桂园清泉城离佛冈高速出口5公里,到佛冈镇中心也并不远,15-20分钟车程即到｡可自行驾车也可乘坐大巴｡

其他注意事项 · 为了避免给邻居带来骚扰,KTV房只能从下午三点开始到晚上十点结束｡
别墅内自带有温泉池,第一池是免费的,第二池起每池交200元｡
另外清泉城内的一个大温泉区需要购买门票才可进去｡",,,,,,
碧桂园清泉城鑫飞扬度假别墅,"https://www.airbnb.cn/rooms/22868709?s=lL8DwLxp&guests=1&adults=1
",整套房子,4个卫生间,7张床,4间卧室,最多住12人,1280,1,"鑫飞扬度假别墅是房东接待亲朋好友生意伙伴的私人会所,配有贴心管家诚意接待｡东南亚风格的装修,设施齐全,配备舒适的大床,星级酒店的干净布草,一客一换的卫生要求,阳光照进每一间屋子,让你在鸟鸣中自然醒来｡(选用爱惠浦净水､福气多玉石床､泰唐酒店床上用品)",,,,,,
高品号邮轮·欢乐今宵spa别墅7房12床,"https://www.airbnb.cn/rooms/23064443?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,12张床,7间卧室,16位及更多房客,2080,0,"清远高品会邮轮spa度假别墅位于清新区恒大生态城内,周围餐饮､娱乐､购物等生活配套齐全,出行便利｡
  别墅装饰以邮轮风格为主题,震撼视野,令人耳目一新;全新推出的大户型､双连幢,三连幢等超特大户型是高品会邮轮别墅一大卖点,适合公司拓展､品牌推广､同学会､大家庭组团;高品会邮轮spa别墅,彰显豪华典范,富丽堂皇,欧式风格与现代科技完美展现｡
  别墅每个房间带电视或电脑､或手机连接蓝牙的音晌系统｡大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､别墅内设私家spa水疗恒温浴池,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放, 晚上23至24时关机｡

温馨提示:别墅内所有设施不收取任何费用! 全天候免费停车｡ 
欢乐今宵邮轮别墅地趾:广东清远市清新区清连高速往北首个出口右转500米恒大金碧天下福山九街62幢06",,,,,,
高品号邮轮·空中红馆k歌spa别墅8房16床,"https://www.airbnb.cn/rooms/23064717?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,16张床,8间卧室,16位及更多房客,2380,2,"清远高品会邮轮spa度假别墅位于清新区恒大生态城内,周围餐饮､娱乐､购物等生活配套齐全,出行便利｡
  别墅装饰以邮轮风格为主题,震撼视野,令人耳目一新;全新推出的大户型､双连幢,三连幢等超特大户型是高品会邮轮别墅一大卖点,适合公司拓展､品牌推广､同学会､大家庭组团;高品会邮轮spa别墅,彰显豪华典范,富丽堂皇,欧式风格与现代科技完美展现｡
  别墅每个房间带电视或电脑､或手机连接蓝牙的音晌系统｡大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､别墅内设私家spa水疗恒温浴池,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放, 晚上23至24时关机｡

温馨提示:别墅内所有设施不收取任何费用! 全天候免费停车｡ 
空中红馆k歌邮轮别墅地趾:广东清远市清新区清连高速往北首个出口右转500米恒大金碧天下福山一街340幢05",,,,,,
高品号邮轮·空中歌剧院spa别墅10房18床,"https://www.airbnb.cn/rooms/23065695?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,5个卫生间,18张床,10间卧室,16位及更多房客,2580,0,"清远高品会邮轮spa度假别墅位于清新区恒大生态城内,周围餐饮､娱乐､购物等生活配套齐全,出行便利｡
  别墅装饰以邮轮风格为主题,震撼视野,令人耳目一新;全新推出的大户型､双连幢,三连幢等超特大户型是高品会邮轮别墅一大卖点,适合公司拓展､品牌推广､同学会､大家庭组团;高品会邮轮spa别墅,彰显豪华典范,富丽堂皇,欧式风格与现代科技完美展现｡
  别墅每个房间带电视或电脑､或手机连接蓝牙的音晌系统｡大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､别墅内设私家spa水疗恒温浴池,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放, 晚上23至24时关机｡

温馨提示:别墅内所有设施不收取任何费用! 全天候免费停车｡ 
空中歌剧院邮轮别墅地趾:广东清远市清新区清连高速往北首个出口右转500米恒大金碧天下福山三街14幢07",,,,,,
高品号邮轮·欢乐今宵双连幢spa别墅13房20床,"https://www.airbnb.cn/rooms/23066124?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,8个卫生间,20张床,13间卧室,16位及更多房客,3660,0,"清远高品会邮轮spa度假别墅位于清新区恒大生态城内,周围餐饮､娱乐､购物等生活配套齐全,出行便利｡
  别墅装饰以邮轮风格为主题,震撼视野,令人耳目一新;全新推出的大户型､双连幢,三连幢等超特大户型是高品会邮轮别墅一大卖点,适合公司拓展､品牌推广､同学会､大家庭组团;高品会邮轮spa别墅,彰显豪华典范,富丽堂皇,欧式风格与现代科技完美展现｡
  别墅每个房间带电视或电脑､或手机连接蓝牙的音晌系统｡大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､别墅内设私家spa水疗恒温浴池,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放, 晚上23至24时关机｡


温馨提示:别墅内所有设施不收取任何费用! 全天候免费停车｡ 
欢乐今宵连幢邮轮别墅2个独立ktv房､2个spa水疗恒温池､2个厨房､2个蒸汽桑拿房.
地趾:广东清远市清新区清连高速往北首个出口右转500米恒大金碧天下福山九街62幢06",,,,,,
